source_file_name,source_url,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48001,5,23,74,0,2023,1,,102,548,540,560,8353712,4619916,73603,1170,,0.75,0.55,0.54,0.55,0.56,0.56,0.44,1.03,,1,1.0,-48,-8.1,-76,-12.3,-3,-0.5,177783,2.2,-303524,-6.2,-57592,-43.9,107,10.1
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48003,5,23,74,0,2023,1,,47,1378,1328,1274,31239673,14582851,375377,1811,,1.14,3.62,3.48,3.34,4.30,3.78,2.98,1.23,,-4,-7.8,91,7.1,9,0.7,-52,-3.9,7323320,30.6,3326598,29.6,58872,18.6,407,29.0
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48005,5,23,74,0,2023,1,,177,1573,1582,1608,22551783,13646174,176005,1093,,1.14,0.91,0.91,0.91,1.08,1.05,0.70,1.19,,0,0.0,44,2.9,38,2.5,81,5.3,3377852,17.6,1270559,10.3,-32635,-15.6,131,13.6
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48007,5,23,74,0,2023,1,,88,467,462,445,6143212,3770745,47211,1032,,1.67,1.50,1.48,1.40,1.76,1.53,0.85,1.20,,6,7.3,80,20.7,68,17.3,67,17.7,1650584,36.7,740476,24.4,9813,26.2,137,15.3
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48009,5,23,74,0,2023,1,,25,86,89,91,953162,672971,2979,827,,1.27,0.97,0.99,1.01,0.94,0.99,0.27,0.95,,-1,-3.8,9,11.7,14,18.7,13,16.7,218901,29.8,149404,28.5,-187,-5.9,90,12.2
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48011,5,23,74,0,2023,1,,11,81,82,76,1124144,641625,11301,1085,,1.80,3.21,3.23,3.03,3.90,3.13,2.38,1.24,,0,0.0,22,37.3,24,41.4,21,38.2,339351,43.2,181923,39.6,-1469,-11.5,32,3.0
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48013,5,23,74,0,2023,1,,81,651,682,669,11137661,5737933,101665,1284,,1.09,0.92,0.95,0.93,0.97,0.88,0.51,1.04,,-2,-2.4,39,6.4,70,11.4,47,7.6,2680825,31.7,881693,18.2,21183,26.3,227,21.5
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48015,5,23,74,0,2023,1,,130,936,939,947,14512426,7986244,116458,1187,,1.08,1.48,1.48,1.46,1.46,1.31,0.80,0.99,,-8,-5.8,39,4.3,35,3.9,58,6.5,2307132,18.9,392216,5.2,-16627,-12.5,140,13.4
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48017,5,23,74,0,2023,1,,10,17,17,18,170678,124912,714,757,,0.52,0.14,0.14,0.15,0.12,0.12,0.05,0.85,,0,0.0,-4,-19.0,-5,-22.7,-4,-18.2,-22245,-11.5,-22926,-15.5,-240,-25.2,72,10.5
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48019,5,23,74,0,2023,1,,61,342,347,354,4320424,2765950,25646,956,,1.54,1.86,1.84,1.87,2.25,2.04,1.16,1.21,,-7,-10.3,-42,-10.9,-40,-10.3,-47,-11.7,-117220,-2.6,-340607,-11.0,-925,-3.5,82,9.4
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48021,5,23,74,0,2023,1,,283,1517,1577,1590,23719127,13502676,331743,1169,,2.00,1.46,1.49,1.48,1.83,1.66,1.74,1.24,,17,6.4,47,3.2,111,7.6,105,7.1,3517727,17.4,1160968,9.4,71113,27.3,115,10.9
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48023,5,23,74,0,2023,1,,12,31,32,31,317646,234444,1856,780,,0.83,0.40,0.42,0.39,0.37,0.42,0.13,0.91,,1,9.1,8,34.8,8,33.3,7,29.2,106893,50.7,54906,30.6,1184,176.2,95,13.9
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48025,5,23,74,0,2023,1,,27,483,519,526,8570624,4873009,223662,1294,,0.60,1.17,1.23,1.23,1.73,2.04,3.41,1.43,,-4,-12.9,122,33.8,133,34.5,112,27.1,3866283,82.2,1956505,67.1,81129,56.9,359,38.4
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48027,5,23,74,0,2023,1,,578,5657,5688,5735,98218560,48853460,760638,1327,,1.14,0.90,0.90,0.89,1.07,1.13,0.87,1.19,,37,6.8,236,4.4,134,2.4,94,1.7,16421386,20.1,3527074,7.8,-22637,-2.9,191,16.8
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48029,5,23,74,0,2023,1,,3252,44720,44989,45358,797260110,386904310,7492202,1362,,0.91,0.99,0.98,0.98,1.07,0.99,0.82,1.09,,29,0.9,2199,5.2,1642,3.8,1723,3.9,109575465,15.9,23410313,6.4,-162510,-2.1,137,11.2
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48031,5,23,74,0,2023,1,,67,528,542,548,12235861,4739601,87865,1745,,1.74,2.64,2.70,2.68,3.89,2.50,2.43,1.45,,-2,-2.9,-9,-1.7,4,0.7,1,0.2,2170006,21.6,-155077,-3.2,-27916,-24.1,313,21.9
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48033,5,23,74,0,2023,1,,4,33,48,49,1279356,494848,22638,2271,,0.62,1.31,1.88,1.43,3.18,1.85,3.84,2.08,N,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48035,5,23,74,0,2023,1,,36,268,269,265,5709871,2318302,45864,1643,,1.12,1.37,1.37,1.35,2.29,1.55,1.91,1.68,,-1,-2.7,3,1.1,1,0.4,-14,-5.0,286894,5.3,73092,3.3,2493,5.7,102,6.6
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48037,5,23,74,0,2023,1,,185,1947,1939,1984,25337380,16042277,262751,996,,0.95,0.95,0.93,0.95,0.99,1.05,0.79,1.05,,-2,-1.1,192,10.9,161,9.1,178,9.9,5455518,27.4,2205786,15.9,-9340,-3.4,137,15.9
qcew_2023_q1_industry_23.csv,https://data.bls.gov/cew/data/api/2023/1/industry/23.csv,48039,5,23,74,0,2023,1,,568,15913,16061,15834,365939488,158205077,7708129,1766,,1.07,2.70,2.70,2.64,3.53,2.98,3.94,1.32,,12,2.2,-206,-1.3,-1170,-6.8,-1695,-9.7,10377940,2.9,-8928657,-5.3,-897582,-10.4,153,9.5
